an,Code_Postal,INSEE_COM,n
2004,56270,56162,1
2016,56275,56162,1
2004,56800,56165,1
2010,56800,56165,1
2016,56800,56165,1
2004,56306,56178,1
2010,56306,56178,1
2004,56000,56260,1
2004,56017,56260,1
2010,56000,56260,1
2010,56017,56260,1
2016,56000,56260,1
2016,56017,56260,1
2016,57530,57031,1
2004,57233,57089,1
2004,57604,57227,1
2010,57604,57227,1
2016,57604,57227,1
2004,57019,57463,1
2004,57038,57463,1
2004,57045,57463,1
2004,57072,57463,1
2010,57000,57463,1
2010,57072,57463,1
2016,57072,57463,1
2004,57502,57606,1
2004,57504,57606,1
2010,57502,57606,1
2010,57504,57606,1
2016,57504,57606,1
2004,57402,57630,1
2010,57402,57630,1
2016,57402,57630,1
2004,57206,57631,1
2010,57211,57631,1
2016,57211,57631,1
2004,57126,57672,1
2010,57126,57672,1
2016,57109,57672,1
2016,57126,57672,1
2004,58500,58079,1
2004,58200,58086,1
2010,58200,58086,1
2016,58200,58086,1
2004,58302,58095,1
2010,58302,58095,1
2016,58302,58095,1
2004,58033,58194,1
2010,58033,58194,1
2016,58033,58194,1
2004,59650,59009,1
2010,59650,59009,1
2016,59650,59009,1
2004,59421,59017,1
2010,59421,59017,1
2016,59421,59017,1
2004,59400,59122,1
2004,59407,59122,1
2010,59400,59122,1
2010,59407,59122,1
2016,59400,59122,1
2016,59407,59122,1
2004,59360,59136,1
2010,59360,59136,1
2016,59360,59136,1
2010,59963,59163,1
2016,59187,59170,1
2004,59723,59172,1
2010,59723,59172,1
2016,59723,59172,1
2004,59507,59178,1
2010,59507,59178,1
2004,59385,59183,1
2004,59430,59183,1
2004,59941,59183,1
2010,59941,59183,1
2016,59941,59183,1
2004,59611,59249,1
2010,59611,59249,1
2016,59611,59249,1
2004,59760,59271,1
2010,59760,59271,1
2016,59792,59271,1
2004,59524,59295,1
2010,59524,59295,1
2016,59524,59295,1
2004,59552,59329,1
2010,59552,59329,1
2016,59552,59329,1
2004,59813,59343,1
2004,59000,59350,1
2004,59003,59350,1
2004,59024,59350,1
2010,59000,59350,1
2010,59003,59350,1
2010,59020,59350,1
2016,59000,59350,2
2016,59020,59350,1
2004,59700,59378,1
2004,59600,59392,1
2004,59607,59392,1
2010,59603,59392,1
2010,59607,59392,1
